SampleID,Iteration,Cat,Chicken,Cow,Dog,Duck,Effluent,Goat,Goose,Horse,Human,Pig,Sheep,Unknown,STORET,Site,Month,Path
1703029_001,1,0,0.0038,0,0,1.00E-04,0.0379,0,0.0013,0,0,0,0,0.9569,308411,Jimtown Road,March,1
1703029_002,1,0,0,0,0,1.00E-04,0.1978,0,1.00E-04,0,0,0,0,0.802,308371,Bundicks Branch,March,2
1703029_003,1,0,0,0,0,0,0.3404,0,0,0,0,0,0,0.6596,308291,Goslee Pond,March,3
1703029_004,1,0,0,1.00E-04,0,0,0,0,0.1647,0,0,2.00E-04,3.00E-04,0.8347,308015,Mouth,March,7
1703029_005,1,0,4.00E-04,0,0,0,0,0,0.172,0,0,0,0,0.8276,308018,West Lane,March,6
1703029_006,1,0,0,0,0,0,0.094,0,0,0,0,0,0.0011,0.9049,308021,Rt 24 Marina,March,5
1703029_007,1,0,0,0,0,0,0.2604,0,0,0,0,0,0,0.7396,308024,Misty Lane,March,4
1704019_001,1,0,0,0,0,6.00E-04,0.0148,0,0,1.00E-04,1.00E-04,0,0,0.9844,308411,Jimtown Road,April,1
1704019_002,1,0,0.003,0,0,5.00E-04,0.2825,0,0,0,0,0,0,0.714,308371,Bundicks Branch,April,2
1704019_003,1,0,0,0,0,0,0.1246,0,0,0,0,0,0,0.8754,308291,Goslee Pond,April,3
1704019_004,1,0,0,0.0946,0,0,0.013,0,0.2669,0,0,0,0,0.6255,308015,Mouth,April,7
1704019_005,1,0,0,0.1107,0,0,0.0183,0,0.309,0,0,0,0,0.562,308018,West Lane,April,6
1704019_006,1,0,0,5.00E-04,0,0,0.0363,0,0,0,0,0,0.0348,0.9284,308021,Rt 24 Marina,April,5
1704019_007,1,0,0.0012,0,0,2.00E-04,0.0245,0,0,0,0,0,0.0983,0.8758,308024,Misty Lane,April,4
1704019_008,1,0,0.0011,7.00E-04,0,0.0021,0.0486,0,0,0,0,0,0.0055,0.942,308021,Rt 24 Marina,April,5
1704019_009,1,0,0,0.0045,0,0,0.0421,0,0.0045,6.00E-04,0,0,0.0022,0.9461,308021,Rt 24 Marina,April,5
1705016_001,1,0,0,0,0,0,0.0202,0,0,0,0,0,0,0.9798,308411,Jimtown Road,May,1
1705016_002,1,0,0,1.00E-04,0,0,0.2867,0,0,0,0,0,0,0.7132,308371,Bundicks Branch,May,2
1705016_003,1,0,2.00E-04,0,0,0,0.2904,0,0,0,1.00E-04,0,0,0.7093,308291,Goslee Pond,May,3
1705016_004,1,0,0,0.2593,0,0,0.0502,0.0011,0.1982,0.004,0,0,1.00E-04,0.4871,308015,Mouth,May,7
1705016_005,1,0,0,0.1932,0,0,0.0354,0,0.211,0.0439,0,0,0,0.5165,308018,West Lane,May,6
1705016_006,1,0,0,0.0126,1.00E-04,0,0.0921,7.00E-04,0.0404,0,0,0,0,0.8541,308021,Rt 24 Marina,May,5
1705016_007,1,0,0,1.00E-04,0,0,0.1994,0,1.00E-04,0,0,0,0,0.8004,308024,Misty Lane,May,4
1705016_008,1,0,0,0.0721,1.00E-04,0,0.0868,1.00E-04,0,0.0747,0,0,0,0.7662,308021,Rt 24 Marina,May,5
1705016_009,1,0,0,0.005,0,0,0.0699,0,0.0485,0.0242,0,0,0,0.8524,308021,Rt 24 Marina,May,5
1706014_001,1,0,0,0,0,0,0.0249,0,0,0,0,0,0,0.9751,308411,Jimtown Road,June,1
